Timestamp,Resource Title,Resource Author(s),"Broadly, what does this resource include? (e.g. a lesson plan(s), scholarship on teaching & learning, encouragement for educators to teach for social justice, etc.)","Mathematical content (target audience, subjects, etc.)","Social justice content of the resource (social justice issues discussed, perspective taken, etc.)",Web link (if available),Document upload (if available),Resource collections and textbooks are highlighted in yellow below,Forthcoming resources are highlighted in orange below,"Use ""slicers"" (below) to filter the list by the type of resource or anything else: https://support.google.com/docs/answer/9245556?hl=en"
,Radical Math,"Many, ed. Jonathan Osler",Lesson plans,"Many, primarily introductory-level course topics",Many,https://www.radicalmath.org/search,,,,
,A Guide for Incorporating Issues of Social and Economic Justice into Mathematics Curriculum (Osler 2007),Jonathan Osler,Lesson plans; pedagogical essays,"Many, primarily introductory-level course topics",Many (see table on the last page of the resource),https://www.radicalmath.org/_files/ugd/3c837a_5ffe132e0edd4e7f9b38a672e01b87eb.pdf,,,,
,Mathematics for Social Justice: Resources for the College Classroom (book ed. Karaali-Khadjavi 2019),Many; ed. Gizem Karaali & Lily Khadjavi,Lesson plans,"Many, ranging from quantitative reasoning to graph theory, discrete mathematics, and ordinary differential equations",Many,https://bookstore.ams.org/clrm-60,Table of modules by math/social justice topic: http://bit.ly/KKModules,,,
,Mathematics for Social Justice: Focusing on Quantitative Reasoning and Statistics (book ed. Karaali-Khadjavi 2021),Many; ed. Gizem Karaali & Lily Khadjavi,Lesson plans,"Many, primarily quantitative reasoning and statistics",Many,https://bookstore.ams.org/clrm-66,Table of modules by math/social justice topic: http://bit.ly/KKModules,,,
,"High School Mathematics Lessons to Explore, Understand, and Respond to Social Injustice","Robert Q. Berry III, Basil M. Cnway IV, Brian R. Lawler, John W. Staley",Lesson plans for quantitative reasoning/college algebra,"Quantitative reasoning, algebra",Various,https://us.corwin.com/en-us/nam/high-school-mathematics-lessons-to-explore-understand-and-respond-to-social-injustice/book262378,,,,
,Sustainability Math,Thomas J. Pfaff,Data,"Quantitative literacy, data science","Environmentalism, sustainability",http://sustainabilitymath.org/,,,,
,Joe Malkevitch's AMS voting articles,Joe Malkevitch,Expositional articles,Voting systems (broad audience),Democracy,http://www.ams.org/publicoutreach/feature-column/fcarc-apportion1,http://www.ams.org/publicoutreach/feature-column/fcarc-voting-introduction,http://www.ams.org/publicoutreach/feature-column/fcarc-voting.games.two,http://www.ams.org/publicoutreach/feature-column/fcarc-voting.games.two,
,Algebra 1/2 & Social Justice Curriculum Google Sheet,Many,Lesson plans,College algebra,Many,https://docs.google.com/spreadsheets/d/1iCy4OQELKxsHsUGsjGo2CzqsE44mKF6ssftxuetqHLo/edit#gid=0,,,,
,Rethinking Mathematics book,"ed. Eric Gutstein, Bob Peterson",Lesson plans; pedagogical essays,"Many, primarily introductory-level course topics",Many,https://www.rethinkingschools.org/books/title/rethinking-mathematics-second-edition,,,,
,Math and Social Justice: A Collaborative MTBoS Site,Many,Lesson plans; data,"Many, primarily introductory-level course topics",Many,https://sites.google.com/site/mathandsocialjustice/,https://docs.google.com/document/d/1db0kPP_XES_50LgpzUfMNm3CEHPYukbSVkiSVxGDD8A/edit?usp=sharing,,,
,The Mathematicians Project: Mathematicians Are Not Just White Dudes,Annie Perkins,Mathematician biographies,History of math,Visibility of mathematicians with oppressed identities,https://arbitrarilyclose.com/2016/08/21/the-mathematicians-project-mathematicians-are-not-just-white-dudes/,https://awesome-table.com/-Kq4eNy0oVl-JUj1pK7I/view,,,
,Creating Balance Conference Resource Site: Post-Secondary,"Creating Balance Conference Attendee ""Geoffrey""",Lesson plans,"Quantitative literacy, data science","Economic inequity, gun violence",http://www.creatingbalanceconference.org/resources/?cat=31,,,,
